name,country_iso2,date,latency_p20,latency_p50,latency_p80,download_p20,download_p50,download_p80,upload_p20,upload_p50,upload_p80,download,upload,latencyMs,iso_a2
Florida,US,202507,35.6804084777832,28.91473197937012,25.58728790283203,83.6585922241211,174.1179656982422,259.8031311035156,13.752344131469728,19.905467987060547,27.376562118530277,174.1179656982422,19.905467987060547,28.91473197937012,US
Georgia,US,202507,36.5490608215332,29.498027801513672,25.81562614440918,81.3304672241211,162.2585906982422,242.27403259277344,12.339062690734863,17.899038314819336,24.774999618530277,162.2585906982422,17.899038314819336,29.498027801513672,US
Hawaii,US,202507,70.75543975830078,68.4256362915039,66.62503814697266,183.4773406982422,241.6039123535156,309.10626220703125,19.192968368530277,25.250782012939453,31.178125381469727,241.6039123535156,25.250782012939453,68.4256362915039,US
Idaho,US,202507,33.68759536743164,26.126710891723636,21.87676048278809,112.9914093017578,218.45703125,308.21563720703125,16.732030868530273,23.204687118530277,32.30937576293945,218.45703125,23.204687118530277,26.126710891723636,US
Illinois,US,202507,31.236669540405277,27.06166648864746,24.590187072753903,118.5210952758789,196.8804626464844,274.8046875,13.868749618530272,19.771875381469727,27.217187881469727,196.8804626464844,19.771875381469727,27.06166648864746,US
Indiana,US,202507,31.885560989379883,27.357006072998047,24.816362380981445,104.5398406982422,177.0617218017578,250.1109313964844,13.328125,19.18359375,26.483173370361328,177.0617218017578,19.18359375,27.357006072998047,US
Iowa,US,202507,29.78937339782715,26.347944259643555,24.27040100097656,149.4054718017578,232.3765563964844,307.81329345703125,15.73046875,21.771093368530277,30.214061737060547,232.3765563964844,21.771093368530277,26.347944259643555,US
Kansas,US,202507,30.58101272583008,27.150409698486328,24.83103370666504,153.8953094482422,240.5382843017578,314.90234375,16.317188262939453,22.38671875,30.370311737060547,240.5382843017578,22.38671875,27.150409698486328,US
Kentucky,US,202507,34.57535934448242,29.60027885437012,26.48929214477539,93.7687530517578,168.18203735351562,240.73828125,12.458333015441896,17.946094512939453,24.700780868530277,168.18203735351562,17.946094512939453,29.60027885437012,US
Louisiana,US,202507,38.897369384765625,31.496461868286133,27.58463287353516,74.7953109741211,151.89688110351562,231.69921875,11.911858558654783,17.446313858032227,24.123437881469727,151.89688110351562,17.446313858032227,31.496461868286133,US
Maine,US,202507,28.70199584960937,25.790752410888672,23.91432380676269,169.5226593017578,246.2109375,314.91326904296875,19.195512771606445,26.782812118530277,34.67890548706055,246.2109375,26.782812118530277,25.790752410888672,US
Maryland,US,202507,32.25297927856445,27.73405265808105,25.2520809173584,119.4937515258789,196.8796844482422,271.8203125,14.482030868530272,20.483592987060547,27.778125762939453,196.8796844482422,20.483592987060547,27.73405265808105,US
Massachusetts,US,202507,27.04856300354004,24.53707695007324,22.90571022033692,206.6960906982422,283.67266845703125,344.05078125,18.124217987060547,25.407032012939453,34.438323974609375,283.67266845703125,25.407032012939453,24.53707695007324,US
Michigan,US,202507,33.36407852172852,28.55973052978516,25.495264053344727,89.48359680175781,167.29922485351562,242.2960968017578,14.015625,19.567188262939453,26.43830108642578,167.29922485351562,19.567188262939453,28.55973052978516,US
Minnesota,US,202507,30.154577255249023,26.32677459716797,23.89921188354492,108.5570297241211,194.1078186035156,274.2984313964844,16.727344512939453,22.634374618530277,30.555469512939453,194.1078186035156,22.634374618530277,26.32677459716797,US
Mississippi,US,202507,39.62922286987305,32.16659164428711,27.64593505859375,78.3515625,156.3664093017578,236.3304748535156,12.100781440734863,17.492969512939453,24.168270111083984,156.3664093017578,17.492969512939453,32.16659164428711,US
